epoch,accuracy,loss,val_accuracy,val_loss
0,0.017270974814891815,5.140244960784912,0.03711184859275818,5.055708408355713
1,0.05341062322258949,4.997346878051758,0.1347433477640152,4.86435079574585
2,0.1269311010837555,4.753904342651367,0.22896863520145416,4.456676959991455
3,0.1913539469242096,4.311635971069336,0.2933301627635956,3.9062929153442383
4,0.25724244117736816,3.8287971019744873,0.39401140809059143,3.3304779529571533
5,0.3241608738899231,3.3796236515045166,0.4824540615081787,2.860933542251587
6,0.3862597942352295,3.015627384185791,0.5446767807006836,2.4509098529815674
7,0.43613171577453613,2.73962140083313,0.5929578542709351,2.1568078994750977
8,0.47952044010162354,2.51497220993042,0.6341492533683777,1.9316734075546265
9,0.5135738253593445,2.343623638153076,0.6650823950767517,1.7624907493591309
10,0.5415929555892944,2.200655460357666,0.6945500373840332,1.6164659261703491
11,0.5689122676849365,2.073847532272339,0.7079372406005859,1.5093653202056885
12,0.5868698358535767,1.9765594005584717,0.7287706136703491,1.4184976816177368
13,0.6082605123519897,1.883018970489502,0.7420389652252197,1.330849528312683
14,0.6252277493476868,1.8037786483764648,0.7551093101501465,1.2653586864471436
15,0.6359363198280334,1.7364082336425781,0.7612088322639465,1.214756727218628
16,0.6485726237297058,1.6736558675765991,0.7697243094444275,1.161725640296936
17,0.6615654826164246,1.6148169040679932,0.78125,1.1152180433273315
18,0.6718514561653137,1.563623309135437,0.7895278930664062,1.0660648345947266
19,0.6808434724807739,1.520171046257019,0.7928944826126099,1.0378363132476807
20,0.6883698105812073,1.477618932723999,0.8003405928611755,1.0062367916107178
21,0.6974674463272095,1.4339736700057983,0.8049746751785278,0.9745765924453735
22,0.7043203711509705,1.3935151100158691,0.8107572793960571,0.9488205313682556
23,0.7126917839050293,1.3617998361587524,0.8135297894477844,0.9335662126541138
24,0.7177489399909973,1.3282053470611572,0.8236691951751709,0.8949923515319824
